NC_020230.1_1511,GCF_000338095.1,WP_043951931_1,302,1-302,302,cog.000001,cls.000001,0
NZ_CP065982.1_1098,GCF_016127095.1,WP_005323424_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP065982.1_1260,GCF_016127095.1,WP_015382061_1,394,1-394,394,cog.000001,cls.000001,0
NZ_CP065982.1_1263,GCF_016127095.1,WP_015382061_1,394,1-394,394,cog.000001,cls.000001,0
NZ_CP065982.1_1887,GCF_016127095.1,WP_012359302_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP065982.1_438,GCF_016127095.1,WP_198493336_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP065982.1_618,GCF_016127095.1,WP_005323424_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP065982.1_840,GCF_016127095.1,WP_232620308_1,382,1-382,382,cog.000001,cls.000001,0
NZ_CP066064.1_923,GCF_016127975.1,WP_012359766_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP066064.1_928,GCF_016127975.1,WP_012359766_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP066289.1_1342,GCF_016403265.1,WP_005323424_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP066289.1_1757,GCF_016403265.1,WP_200973668_1,396,1-396,396,cog.000001,cls.000001,0
NZ_CP066289.1_684,GCF_016403265.1,WP_012359766_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP066289.1_697,GCF_016403265.1,WP_012359766_1,392,1-392,392,cog.000001,cls.000001,0
NZ_CP066289.1_823,GCF_016403265.1,WP_041628620_1,396,1-396,396,cog.000001,cls.000001,0
NZ_CP066289.1_880,GCF_016403265.1,WP_015382061_1,394,1-394,394,cog.000001,cls.000001,0
NZ_CP136640.1_46,GCF_032918165.1,WP_005323424_1,392,1-392,392,cog.000001,cls.000001,0
NZ_LT906481.1_970,GCF_900187235.1,WP_012359766_1,392,1-392,392,cog.000001,cls.000001,0
NC_010545.1_791,GCF_000069945.1,WP_012360054_1,754,1-754,754,cog.000002,cls.000019,0
NC_010545.1_793,GCF_000069945.1,WP_012360056_1,728,1-728,728,cog.000002,cls.000019,0
NC_020230.1_782,GCF_000338095.1,WP_015381530_1,728,1-728,728,cog.000002,cls.000019,0
NZ_CP065982.1_507,GCF_016127095.1,WP_015381530_1,728,1-728,728,cog.000002,cls.000019,0
NZ_CP066064.1_1671,GCF_016127975.1,WP_012360056_1,728,1-728,728,cog.000002,cls.000019,0
NZ_CP066064.1_1673,GCF_016127975.1,WP_231910725_1,695,1-695,695,cog.000002,cls.000019,0
NZ_CP066289.1_1453,GCF_016403265.1,WP_015381530_1,728,1-728,728,cog.000002,cls.000019,0
NZ_CP063191.1_1157,GCF_028609845.1,WP_112769051_1,699,1-699,699,cog.000002,cls.000019,0
NZ_CP136640.1_807,GCF_032918165.1,WP_317210146_1,728,1-728,728,cog.000002,cls.000019,0
NZ_LT906481.1_225,GCF_900187235.1,WP_231910725_1,695,1-695,695,cog.000002,cls.000019,0
NZ_LT906481.1_227,GCF_900187235.1,WP_012360056_1,728,1-728,728,cog.000002,cls.000019,0
NC_010545.1_330,GCF_000069945.1,WP_005291893_1,338,1-338,338,cog.000003,cls.000085,0
NC_020230.1_324,GCF_000338095.1,WP_015381249_1,335,1-335,335,cog.000003,cls.000085,0
NZ_CP065982.1_43,GCF_016127095.1,WP_015381249_1,335,1-335,335,cog.000003,cls.000085,0
NZ_CP066064.1_163,GCF_016127975.1,WP_005291893_1,338,1-338,338,cog.000003,cls.000085,0
NZ_CP066289.1_1916,GCF_016403265.1,WP_015381249_1,335,1-335,335,cog.000003,cls.000085,0
NZ_CP136640.1_1471,GCF_032918165.1,WP_317209170_1,381,1-381,381,cog.000003,cls.000085,0
NZ_CP136640.1_1472,GCF_032918165.1,WP_070759186_1,350,1-350,350,cog.000003,cls.000085,0
NZ_CP136640.1_1476,GCF_032918165.1,WP_070759184_1,354,1-354,354,cog.000003,cls.000085,0
NZ_CP136640.1_1484,GCF_032918165.1,WP_317209174_1,339,1-339,339,cog.000003,cls.000085,0
NZ_CP136640.1_294,GCF_032918165.1,WP_005291893_1,338,1-338,338,cog.000003,cls.000085,0
NZ_LT906481.1_1731,GCF_900187235.1,WP_005291893_1,338,1-338,338,cog.000003,cls.000085,0
NC_010545.1_287,GCF_000069945.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_CP065982.1_1398,GCF_016127095.1,WP_232620173_1,357,1-357,357,cog.000004,cls.000888,0
NZ_CP065982.1_1567,GCF_016127095.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_CP065982.1_345,GCF_016127095.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_CP066064.1_1958,GCF_016127975.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_CP066064.1_205,GCF_016127975.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_CP066289.1_33,GCF_016403265.1,WP_232620173_1,357,1-357,357,cog.000004,cls.000888,0
NZ_CP066289.1_458,GCF_016403265.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_CP136640.1_274,GCF_032918165.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_LT906481.1_1689,GCF_900187235.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NZ_LT906481.1_1910,GCF_900187235.1,WP_231837769_1,404,1-404,404,cog.000004,cls.000888,0
NC_010545.1_461,GCF_000069945.1,WP_012359718_1,328,1-328,328,cog.000005,cls.000016,0
NC_020230.1_451,GCF_000338095.1,WP_015381328_1,323,1-323,323,cog.000005,cls.000016,0
NZ_CP065982.1_170,GCF_016127095.1,WP_015381328_1,323,1-323,323,cog.000005,cls.000016,0
NZ_CP066064.1_31,GCF_016127975.1,WP_012359718_1,328,1-328,328,cog.000005,cls.000016,0
NZ_CP066289.1_1786,GCF_016403265.1,WP_200973682_1,328,1-328,328,cog.000005,cls.000016,0
NZ_CP063191.1_1223,GCF_028609845.1,WP_112769874_1,316,1-316,316,cog.000005,cls.000016,0
NZ_CP063191.1_1578,GCF_028609845.1,WP_112768731_1,316,1-316,316,cog.000005,cls.000016,0
NZ_CP063191.1_1580,GCF_028609845.1,WP_112768729_1,313,1-313,313,cog.000005,cls.000016,0
NZ_CP136640.1_424,GCF_032918165.1,WP_317209782_1,323,1-323,323,cog.000005,cls.000016,0
NZ_LT906481.1_1863,GCF_900187235.1,WP_012359718_1,328,1-328,328,cog.000005,cls.000016,0
NC_010545.1_747,GCF_000069945.1,WP_231837751_1,491,1-491,491,cog.000006,cls.000171,0
NC_020230.1_735,GCF_000338095.1,WP_015381482_1,542,1-542,542,cog.000006,cls.000171,0
NC_020230.1_736,GCF_000338095.1,WP_232620288_1,491,1-491,491,cog.000006,cls.000171,0
NZ_CP065982.1_459,GCF_016127095.1,WP_015381482_1,542,1-542,542,cog.000006,cls.000171,0
NZ_CP065982.1_460,GCF_016127095.1,WP_232620288_1,491,1-491,491,cog.000006,cls.000171,0
NZ_CP066064.1_1718,GCF_016127975.1,WP_231837751_1,491,1-491,491,cog.000006,cls.000171,0
NZ_CP066289.1_1500,GCF_016403265.1,WP_236251496_1,491,1-491,491,cog.000006,cls.000171,0
NZ_CP066289.1_1501,GCF_016403265.1,WP_015381482_1,542,1-542,542,cog.000006,cls.000171,0
NZ_CP136640.1_759,GCF_032918165.1,WP_317210117_1,491,1-491,491,cog.000006,cls.000171,0
NZ_LT906481.1_180,GCF_900187235.1,WP_231837751_1,491,1-491,491,cog.000006,cls.000171,0
NC_010545.1_271,GCF_000069945.1,WP_005323424_1,392,1-392,392,cog.000007,cls.000001,0
NZ_CP065982.1_1703,GCF_016127095.1,WP_198493327_1,392,1-392,392,cog.000007,cls.000001,0
NZ_CP066064.1_221,GCF_016127975.1,WP_005323424_1,392,1-392,392,cog.000007,cls.000001,0
NZ_CP066064.1_223,GCF_016127975.1,WP_005323424_1,392,1-392,392,cog.000007,cls.000001,0
NZ_CP066289.1_1974,GCF_016403265.1,WP_005323424_1,392,1-392,392,cog.000007,cls.000001,0
NZ_CP066289.1_6,GCF_016403265.1,WP_012359302_1,392,1-392,392,cog.000007,cls.000001,0
NZ_CP136640.1_247,GCF_032918165.1,WP_317209667_1,392,1-392,392,cog.000007,cls.000001,0
NZ_LT906481.1_1671,GCF_900187235.1,WP_005323424_1,392,1-392,392,cog.000007,cls.000001,0
NZ_LT906481.1_1673,GCF_900187235.1,WP_005323424_1,392,1-392,392,cog.000007,cls.000001,0
NC_010545.1_1860,GCF_000069945.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NC_010545.1_1862,GCF_000069945.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NC_020230.1_1797,GCF_000338095.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NC_020230.1_1799,GCF_000338095.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NZ_CP065982.1_1713,GCF_016127095.1,WP_012359766_1,392,1-392,392,cog.000008,cls.000001,0
NZ_CP065982.1_1714,GCF_016127095.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NZ_CP066064.1_592,GCF_016127975.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NZ_CP136640.1_1889,GCF_032918165.1,WP_317209439_1,382,1-382,382,cog.000008,cls.000001,0
NZ_LT906481.1_1301,GCF_900187235.1,WP_005323424_1,392,1-392,392,cog.000008,cls.000001,0
NC_010545.1_335,GCF_000069945.1,WP_005325331_1,372,1-372,372,cog.000009,cls.000004,0
NC_020230.1_320,GCF_000338095.1,WP_015381245_1,341,1-341,341,cog.000009,cls.000004,0
NZ_CP065982.1_39,GCF_016127095.1,WP_015381245_1,341,1-341,341,cog.000009,cls.000004,0
NZ_CP066064.1_158,GCF_016127975.1,WP_005325331_1,372,1-372,372,cog.000009,cls.000004,0
NZ_CP066289.1_1920,GCF_016403265.1,WP_015381245_1,341,1-341,341,cog.000009,cls.000004,0
NZ_CP136640.1_1475,GCF_032918165.1,WP_070423874_1,350,1-350,350,cog.000009,cls.000004,0
NZ_CP136640.1_1483,GCF_032918165.1,WP_070759181_1,336,1-336,336,cog.000009,cls.000004,0
NZ_CP136640.1_299,GCF_032918165.1,WP_317209695_1,372,1-372,372,cog.000009,cls.000004,0
